"No.","Time","Source","Destination","Protocol","Length","Info"
"812","2.569600","192.168.8.117","66.22.238.13","UDP","1166","59318  >  50003 Len=1124"
"813","2.569664","192.168.8.117","66.22.238.13","UDP","1166","59318  >  50003 Len=1124"
"814","2.575548","192.168.8.117","66.22.238.4","UDP","85","57430  >  50020 Len=43"
"815","2.584073","66.22.238.4","192.168.8.117","UDP","333","50020  >  57430 Len=291"
"816","2.603572","192.168.8.117","66.22.238.13","UDP","1225","59318  >  50003 Len=1183"
"817","2.603651","192.168.8.117","66.22.238.13","UDP","1225","59318  >  50003 Len=1183"
"818","2.603674","192.168.8.117","66.22.238.13","UDP","1225","59318  >  50003 Len=1183"
"819","2.603693","192.168.8.117","66.22.238.13","UDP","1225","59318  >  50003 Len=1183"
"820","2.603712","192.168.8.117","66.22.238.13","UDP","1226","59318  >  50003 Len=1184"
"821","2.603739","192.168.8.117","66.22.238.13","UDP","1226","59318  >  50003 Len=1184"
"822","2.608591","192.168.8.117","66.22.238.13","UDP","1226","59318  >  50003 Len=1184"
"823","2.608656","192.168.8.117","66.22.238.13","UDP","1226","59318  >  50003 Len=1184"
"824","2.608678","192.168.8.117","66.22.238.13","UDP","1226","59318  >  50003 Len=1184"
"825","2.608696","192.168.8.117","66.22.238.13","UDP","1226","59318  >  50003 Len=1184"
"826","2.611981","66.22.238.4","192.168.8.117","UDP","324","50020  >  57430 Len=282"
"827","2.614487","192.168.8.117","66.22.238.13","UDP","1226","59318  >  50003 Len=1184"
"828","2.624783","66.22.238.4","192.168.8.117","UDP","290","50020  >  57430 Len=248"
"829","2.631543","192.168.8.117","66.22.238.13","UDP","1220","59318  >  50003 Len=1178"
"830","2.631666","192.168.8.117","66.22.238.13","UDP","1220","59318  >  50003 Len=1178"
"831","2.631702","192.168.8.117","66.22.238.13","UDP","1220","59318  >  50003 Len=1178"
"832","2.631727","192.168.8.117","66.22.238.13","UDP","1220","59318  >  50003 Len=1178"
"833","2.631749","192.168.8.117","66.22.238.13","UDP","1220","59318  >  50003 Len=1178"
"834","2.636655","192.168.8.117","66.22.238.13","UDP","1220","59318  >  50003 Len=1178"
"835","2.636750","192.168.8.117","66.22.238.13","UDP","1221","59318  >  50003 Len=1179"
"836","2.636781","192.168.8.117","66.22.238.13","UDP","1221","59318  >  50003 Len=1179"
"837","2.636801","192.168.8.117","66.22.238.13","UDP","1221","59318  >  50003 Len=1179"
"838","2.642159","192.168.8.117","66.22.238.13","UDP","1221","59318  >  50003 Len=1179"
"839","2.646035","66.22.238.13","192.168.8.117","RTCP","110","Payload-specific Feedback   ALFB  "
"840","2.646035","66.22.238.13","192.168.8.117","RTCP","94","Receiver Report   "
"841","2.646035","66.22.238.13","192.168.8.117","RTCP","94","Receiver Report   "
"842","2.647155","192.168.8.117","66.22.238.13","RTCP","102","Sender Report   "
"843","2.651649","66.22.238.4","192.168.8.117","UDP","335","50020  >  57430 Len=293"
"844","2.663823","66.22.238.4","192.168.8.117","UDP","325","50020  >  57430 Len=283"
"845","2.663823","66.22.238.13","192.168.8.117","UDP","122","50003  >  59318 Len=80"
"846","2.668356","192.168.8.117","66.22.238.13","UDP","1230","59318  >  50003 Len=1188"
